GENIE3_links,GRNBOOST2_links,PIDC_links,phase_synchrony_links
NCR3_PRF1,CD247_CST3,CD247_SPIB,HLA-DOB_VPREB3
FCER2_KIAA0125,HLA-DMA_HLA-DPA1,CD72_LINC00926,GZMA_LINC00926
HLA-DRA_LGALS2,RAC1_VPREB3,CD8B_LYAR,CST7_CTSW
GPX1_NCR3,HLA-DOB_TCL1A,BANK1_BLK,SAMD3_TCL1A
AP1S2_RPL3,CD3E_LTB,CCL4_FCER2,CD72_TIGIT
RPS27_RPS27A,CHST12_LGALS1,RPLP2_RPS3,GZMA_VPREB3
CD79B_PNOC,CYBA_MATK,RPL9_RPS27,CD79A_CTSW
CD3E_IRF8,FCER1G_FCRLA,CD72_P2RX5,GZMA_GZMK
FGFBP2_TCL1A,CTSS_RPLP2,CYB561A3_LYAR,BLK_SAMD3
HLA-DRA_S100A8,GABARAP_MALAT1,HLA-DMB_LY86,CTSW_TSPAN13
GZMA_TSPAN13,CD40_FTL,RPL32_RPS3,MATK_PNOC
RPLP2_RPS18,CDA_RPS27,CXCR4_SH2D1A,BLK_CTSW
CST7_KIAA0125,IRF8_RPS20,APMAP_CCL5,KIAA0125_KLRG1
GZMH_LGALS1,AP1S2_RPL3,CCR7_IL32,CTSW_KIAA0125
CTSW_PRF1,GZMH_LGALS1,CXCR4_HCST,BLK_HLA-DOB
CYB561A3_P2RX5,RPS5_RPS6,GZMM_SAMD3,FCER2_SH2D2A
HLA-DRA_SH2D1A,AIF1_FTL,CD40_SPIB,HLA-DOB_LINC00926
HLA-DMA_HLA-DPA1,CFD_MATK,DUSP2_PDLIM1,C12orf75_FCRLA
CD79B_CD8B,LYZ_RPL13A,RPL32_RPS14,S100A4_S100A6
FTL_SAT1,CD8B_PTPRCAP,APMAP_CD79B,FCRLA_PNOC
GSTP1_P2RX5,CXCR4_S100A9,C12orf75_CD72,CD72_HOPX
CYB561A3_PPAPDC1B,CD3D_GNG7,CD8A_GZMK,NCR3_PNOC
CDA_GNG7,CTSS_RPS18,CST7_HVCN1,FCER2_PNOC
MYL12A_SH2D2A,RPS12_RPS27,CD247_CYB561A3,GZMK_PNOC
APMAP_PRF1,RPL13_RPL13A,C12orf75_CD79A,C12orf75_MATK
