GENIE3_links,GRNBOOST2_links,PIDC_links,phase_synchrony_links
NEAT1_RPS25,CD72_FTL,RPL18A_RPS28,CD14_HLA-DPB1
HLA-DRB5_LGALS2,HLA-DQB1_HLA-DRA,GZMK_IL7R,CDA_CEBPD
CD68_S100A11,LGALS2_S100A11,GZMK_SH2D2A,BRI3_FTL
RPL30_RPS3A,RPL30_RPS6,APMAP_MATK,CD68_FCER1G
EEF1A1_RPS10,RPL13_RPS3,CD8A_GZMK,CD8B_MS4A6A
CFP_FCRL6,RPL35A_RPS18,IL7R_LDHB,LST1_TYROBP
LGALS2_S100A11,GZMH_S100A11,IL7R_LAG3,BLVRB_LGALS2
HLA-A_HLA-C,S100A9_TYROBP,CST7_TSPAN13,FCER1G_MS4A6A
CD8B_SAMD3,RPL13A_RPS6,CD2_CD8B,CD14_TYROBP
CCL4_TCL1A,CDA_LGALS3,CD8B_CD99,BLVRB_BRI3
CFD_NCR3,NOSIP_TIGIT,ARPC5L_CD8A,CST7_FCRL6
CD14_FCER1G,MS4A1_RPL35A,APMAP_ARPC5L,APMAP_CTSW
CD40_GZMM,HLA-E_LGALS2,CD8A_LDHB,AIF1_CD68
HLA-A_NCR3,HLA-DPB1_RPS3A,MS4A6A_S100A9,FCER1G_S100A11
AIF1_LGALS3,FCN1_TYMP,HOPX_PNOC,CD74_CFP
EEF1A1_RPL5,CD247_FGFBP2,RPLP2_RPS20,LAG3_NKG7
CDA_TIGIT,HLA-A_RPS12,LYAR_SPIB,CD8A_CTSW
CDA_TYMP,HLA-DPB1_HLA-DRB5,HOPX_MATK,CEBPD_LGALS2
GNG7_HOPX,CYB561A3_LGALS3,GZMA_NKG7,CD14_CST3
CD79B_FCRL6,CCL4_CD74,ARPC5L_CD99,KLRG1_NKG7
RPL10_RPL5,SAMD3_TIGIT,GZMK_RARRES3,GZMK_LYAR
GABARAP_HOPX,RPL18A_RPLP2,APMAP_RARRES3,CCL4_GZMH
AIF1_TYROBP,RPLP2_RPS13,KLRG1_LDHB,CTSW_SAMD3
B2M_HLA-C,RPL10_TIGIT,CD3E_LYAR,HLA-DRA_MS4A6A
FCER1G_LST1,CDA_FCN1,CD2_SPIB,LGALS1_LGALS2
RPS14_RPS28,LGALS3_RPL5,LTB_RPS3,CFP_NCF2
PTPRCAP_RPS28,CTSS_RPS15A,CD8A_KLRG1,FCER1G_FCN1
BLVRB_CFD,LTB_RPS15A,GZMM_HLA-DOB,FCER1G_SERPINA1
CD68_NCF2,GZMH_HLA-DRA,CFP_TSPO,FCER1G_LGALS2
ISG20_RPSA,RPL10_RPS18,HLA-DPA1_RPS15A,CCL4_GZMM
FCRL6_TIGIT,BRI3_CD74,CD2_KLRG1,CST7_SH2D2A
CFD_SERPINA1,CD68_HLA-DPB1,CD99_IL7R,CD3D_TIGIT
CD72_GZMM,PDLIM1_RPS11,CD8B_GZMK,CDA_CST3
RPL30_RPL9,CD74_IL32,APMAP_PPAPDC1B,CD74_FCER1G
CD99_HOPX,HCST_RPS6,GZMK_LAG3,HLA-DQA1_HLA-DQA2
AIF1_CD68,BLVRB_CD14,CD8B_NOSIP,CD14_FTL
LGALS3_S100A11,HLA-DPB1_HLA-DQB1,IL7R_SH2D2A,LGALS2_SPI1
GZMA_NKG7,CCL4_FGFBP2,IRF8_SH2D1A,BRI3_FCER1G
RPL10_RPS6,FTH1_GRN,APOBEC3G_FCRL6,CFP_LGALS3
CCL5_LAG3,HLA-DRA_IL32,PPAPDC1B_RARRES3,FCN1_LGALS2
MS4A1_RPL31,GZMM_HLA-DPA1,RAC1_SMIM14,CD74_SERPINA1
HLA-DRB5_PFN1,RPS3_TIGIT,CD2_IL7R,CST3_TYROBP
EEF1A1_TPT1,CEBPD_HLA-DRA,ARPC5L_PPAPDC1B,FCN1_TYROBP
CEBPD_TYROBP,RPS4X_SH2D1A,CCR7_CD2,AC092580.4_MATK
LTB_SH2D1A,LTB_SERPINA1,CDA_FCER1G,HLA-DPA1_HLA-DRA
FCN1_S100A11,HLA-DPA1_IL32,RPL21_RPS3A,CCL4_PRF1
HLA-DOB_RPL36,EEF1A1_RPL30,GZMK_NCR3,FCER1G_LGALS1
CD79B_CEBPD,RPS3A_S100A11,CD8B_LAG3,CDA_LGALS1
CCL4_GRN,CHST12_HLA-DRB5,FGFBP2_PDLIM1,HLA-DPA1_HLA-DRB1
RPS27A_TCL1A,RPLP2_RPS6,HOPX_PPAPDC1B,GZMM_TIGIT
EAF2_RPL14,CD14_LGALS3,CCR7_LYAR,CD14_LGALS1
PDLIM1_RPS3,LGALS2_S100A9,CD14_CEBPD,GZMM_LAG3
HLA-DRB1_LGALS2,RPL11_RPS6,SERPINA1_SPI1,CDA_FTL
CD68_FCER1G,RPL10A_RPL11,EEF1A1_RPL5,CTSW_LAG3
CDA_LGALS1,AIF1_CD68,CST7_P2RX5,CCL4_CCL5
CCL5_LYAR,RPL21_RPS15A,RPL11_RPS25,CD8A_PRF1
CEBPD_MS4A6A,GNG7_HOPX,ARPC5L_LAG3,BLVRB_CD14
RPS23_RPSA,RPL21_RPS3A,AC092580.4_NCR3,CST7_SAMD3
RPSA_TALDO1,CD14_CD3E,APMAP_SH2D2A,CTSW_GZMK
HLA-E_PKIG,CD68_FCN1,HLA-DQA1_RPSA,GZMM_KLRG1
